_id,title,description,date,status,createdAt,updatedAt
6909875e17a6d66296f345d2,Launch Strategy Review,Evaluate the Q4 product launch strategy and identify key performance i…,2025-11-18T00:00:00.000+00:00,active,2025-11-03T16:56:24.461+00:00,2025-11-03T16:56:24.461+00:00
6909875e17a6d66296f345d3,Customer Feedback Analysis,Review customer feedback from Q3 and highlight areas for improvement.,2025-11-19T00:00:00.000+00:00,active,2025-11-03T16:56:24.461+00:00,2025-11-03T16:56:24.461+00:00
6909875e17a6d66296f345d4,Sales Forecast Meeting,Discuss sales projections for Q1 2026 and align with marketing goals.,2025-11-20T00:00:00.000+00:00,active,2025-11-03T16:56:24.461+00:00,2025-11-03T16:56:24.461+00:00
6909875e17a6d66296f345d5,Product Roadmap Planning,Outline the product roadmap for 2026 and prioritize feature development.,2025-11-21T00:00:00.000+00:00,active,2025-11-03T16:56:24.461+00:00,2025-11-03T16:56:24.461+00:00
6909875e17a6d66296f345d6,Budget Allocation Review,Assess departmental budgets and recommend adjustments for next fiscal year.,2025-11-22T00:00:00.000+00:00,active,2025-11-03T16:56:24.461+00:00,2025-11-03T16:56:24.461+00:00
6909875e17a6d66296f345d7,Marketing Campaign Retrospective,Analyze the performance of recent campaigns and extract key learnings.,2025-11-23T00:00:00.000+00:00,active,2025-11-03T16:56:24.461+00:00,2025-11-03T16:56:24.461+00:00
6909875e17a6d66296f345d8,Team Performance Review,Evaluate team KPIs and set goals for the upcoming quarter.,2025-11-24T00:00:00.000+00:00,active,2025-11-03T16:56:24.461+00:00,2025-11-03T16:56:24.461+00:00
6909875e17a6d66296f345d9,Vendor Contract Assessment,Review vendor contracts and assess renewal opportunities.,2025-11-25T00:00:00.000+00:00,active,2025-11-03T16:56:24.461+00:00,2025-11-03T16:56:24.461+00:00
6909875e17a6d66296f345da,Security Audit Planning,Plan the upcoming security audit and define scope and objectives.,2025-11-26T00:00:00.000+00:00,active,2025-11-03T16:56:24.461+00:00,2025-11-03T16:56:24.461+00:00
6909875e17a6d66296f345db,Quarterly Town Hall,Prepare agenda and materials for the company-wide town hall meeting.,2025-11-27T00:00:00.000+00:00,active,2025-11-03T16:56:24.461+00:00,2025-11-03T16:56:24.461+00:00
690987e217a6d66296f345dd,Innovation Lab Kickoff,Launch the new innovation lab initiative and define its strategic goals.,2025-11-28T00:00:00.000+00:00,active,2025-11-03T16:56:24.461+00:00,2025-11-03T16:56:24.461+00:00
690987e217a6d66296f345de,Compliance Review Session,Ensure all departments meet regulatory compliance standards for the year.,2025-11-29T00:00:00.000+00:00,active,2025-11-03T16:56:24.461+00:00,2025-11-03T16:56:24.461+00:00
690987e217a6d66296f345df,Hiring Strategy Workshop,Develop hiring plans and talent acquisition strategies for 2026.,2025-11-30T00:00:00.000+00:00,active,2025-11-03T16:56:24.461+00:00,2025-11-03T16:56:24.461+00:00
690987e217a6d66296f345e0,IT Infrastructure Review,Audit current IT systems and propose upgrades for scalability.,2025-12-01T00:00:00.000+00:00,active,2025-11-03T16:56:24.461+00:00,2025-11-03T16:56:24.461+00:00
690987e217a6d66296f345e1,Holiday Campaign Planning,Plan marketing and sales campaigns for the holiday season.,2025-12-02T00:00:00.000+00:00,active,2025-11-03T16:56:24.461+00:00,2025-11-03T16:56:24.461+00:00
690987e217a6d66296f345e2,Customer Retention Strategy,Design programs to improve customer loyalty and retention.,2025-12-03T00:00:00.000+00:00,active,2025-11-03T16:56:24.461+00:00,2025-11-03T16:56:24.461+00:00
690987e217a6d66296f345e3,Quarter-End Financial Review,Review financial performance and prepare reports for stakeholders.,2025-12-04T00:00:00.000+00:00,active,2025-11-03T16:56:24.461+00:00,2025-11-03T16:56:24.461+00:00
690987e217a6d66296f345e4,Employee Wellness Check-In,Conduct wellness surveys and plan health initiatives.,2025-12-05T00:00:00.000+00:00,active,2025-11-03T16:56:24.461+00:00,2025-11-03T16:56:24.461+00:00
690987e217a6d66296f345e5,Sustainability Goals Review,Evaluate progress on sustainability targets and update action plans.,2025-12-06T00:00:00.000+00:00,active,2025-11-03T16:56:24.461+00:00,2025-11-03T16:56:24.461+00:00
690987e217a6d66296f345e6,Cross-Functional Collaboration Forum,Facilitate collaboration between departments to improve workflow.,2025-12-07T00:00:00.000+00:00,active,2025-11-03T16:56:24.461+00:00,2025-11-03T16:56:24.461+00:00
